target,ndrange-kernel,kernel-loop-flat,kernel-loop-nested
aocl,2.405175781,2.562402344,2.230957031
sdaccel,0.000292969,0.00859375,0.705371094
cpu,31.21074219,10.17304688,10.47871094
gpu,174.1357422,0.166601563,0.163183594
